key,variant,source_value,fr_target,de_target,ja_target,ko_target,es_target
onboarding.subtitle,,"Track meals, build healthier habits, and reach your goals with AI.",,,,,
onboarding.targetWeight,,Your target weight?,,,,,
onboarding.tellUsAboutYou,,Tell us about you,,,,,
onboarding.title,,Calorie Tracker,,,,,
permission.camera.title,,Camera Access,,,,,
profile.currentWeight,,Current: %@kg,,,,,
profile.gender,,Gender,,,,,
profile.gender.female,,Female,,,,,
profile.gender.male,,Male,,,,,
profile.gender.nonBinary,,Non-binary,,,,,
profile.gender.other,,Other,,,,,
profile.minWeight,,MinWeight,,,,,
recipe.aiChef,,AI Chef,,,,,
recipe.cookingTime,,Cooking time,,,,,
recipe.cookSubtitle,,Cook your way to your goals!,,,,,
recipe.delete.description,,You won't be able to recover this recipe.,,,,,
recipe.delete.title,,Delete recipe?,,,,,
recipe.description,,Turn your available ingredients into personalized meals that fit your calorie goal.,,,,,
recipe.detailTitle,,Recipe Detail,,,,,
recipe.energyValue,,Energy value,,,,,
recipe.error.loadFailed,,We couldn't load this recipe. Please try again.,,,,,
recipe.favorites.emptyDescription,,Looks like you haven't added anything to your favorites yet.,,,,,
recipe.favorites.emptyTitle,,No Favorites Yet,,,,,
recipe.favorites.title,,Favourites,,,,,
recipe.generate,,Generate Recipe,,,,,
recipe.generating.gatheringIngredients,,Gathering your ingredients...,,,,,
recipe.ingredients,,Ingredients,,,,,
recipe.ingredientsEmpty,,No ingredients added yet,,,,,
recipe.instructions,,How to make,,,,,
recipe.logAndSave,,Log & Save,,,,,
recipe.mealType,,Meal Type,,,,,
recipe.moreIdeas,,More ideas with your ingredients,,,,,
recipe.searchPlaceholder,,Search for recipes,,,,,
recipe.serving,,Serving,,,,,
recipe.stepNumber,,Step %lld,,,,,
recipe.tabTitle,,Recipes,,,,,
recipe.title,,Recipe,,,,,
recipe.typeIngredientPlaceholder,,Type an ingredient...,,,,,
Select size,,Select size,,,,,
settings.appleHealth,,Apple Health,,,,,
settings.glassSize,,Glass size,,,,,
settings.glassSizeDescription,,Standard glass size for calculating water intake.,,,,,
settings.language,,Language,,,,,
settings.privacyPolicy,,Privacy Policy,,,,,
settings.rateUs,,Rate Us,,,,,
settings.recalculatePlan,,Recalculate plan,,,,,
settings.sectionOther,,Other,,,,,
settings.sectionPlan,,Plan,,,,,
settings.sectionSystem,,System,,,,,
settings.shareApp,,Share App,,,,,
settings.system,,System,,,,,
settings.title,,Settings,,,,,
settings.unit.imperial,,lbs/ft,,,,,
settings.unit.metric,,kg/cm,,,,,
settings.unitOfMeasurement,,Units,,,,,
settings.writeFeedback,,Write Feedback,,,,,
statistics.caloriesEaten,,Calories Eaten,,,,,
statistics.caloriesGoal,,Goal: %@ kcal,,,,,
statistics.noData,,No data available,,,,,
statistics.period.day,,Day,,,,,
statistics.period.oneMonth,,1 month,,,,,
statistics.period.oneYear,,1 year,,,,,
statistics.period.sevenDays,,7 days,,,,,
statistics.period.sixMonths,,6 months,,,,,
statistics.title,,Statistics,,,,,
statistics.weightCurrent,,Current: %@ kg,,,,,
subscription.adUnlockPrompt,,"Watch a short ad to unlock for free, or get Premium for unlimited access.",,,,,
subscription.getPremium,,Get Premium,,,,,
subscription.lifetime,,Lifetime,,,,,
subscription.monthly,,Monthly,,,,,
subscription.paywall.autoRenewCancelAnytime,,Auto-renew. Cancel anytime.,,,,,
subscription.paywall.bestOffer,,Best Offer,,,,,
subscription.paywall.popular,,Popular,,,,,
subscription.paywall.pricePerPeriod,,Just %1$@/%2$@,,,,,
subscription.paywall.pricePerWeek,,Just %@/week,,,,,
subscription.paywall.savePercent,,Save %@%%,,,,,
subscription.paywall.termAutoRenew,,• Your subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period.,,,,,
subscription.paywall.termCharge,,"• Once you confirm the purchase, your payment will be charged to your iTunes Account.",,,,,
subscription.paywall.termManage,,• Subscription may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase.,,,,,
subscription.paywall.termPriceWeeklyYearly,,• The price of weekly subscription is %1$@ and yearly subscription is %2$@ (%3$@ per week).,,,,,
subscription.paywall.termPriceWeeklyYearlyMonthly,,"• The price of weekly subscription is %1$@, yearly subscription is %2$@ (%3$@ per week) and monthly subscription is %4$@.",,,,,
subscription.paywall.termRenewal,,• Your account will be charged for renewal within 24 hours prior to the end of the current period.,,,,,
subscription.period.lifeTime,,lifetime,,,,,
subscription.period.month,,month,,,,,
subscription.period.week,,week,,,,,
subscription.period.year,,year,,,,,
subscription.perWeek,,Per week,,,,,
subscription.privacyPolicy,,Privacy Policy,,,,,
subscription.restorePurchase,,Restore,,,,,
subscription.terms,,Subscription Terms,,,,,
subscription.termsOfUse,,Terms of Use,,,,,
subscription.unlockFeature,,Unlock this feature,,,,,
subscription.watchAd,,Watch Ad,,,,,
subscription.weekly,,Weekly,,,,,
subscription.yearly,,Yearly,,,,,
tab.add,,Add,,,,,
tab.recipe,,Recipe,,,,,
tab.tracking,,Tracking,,,,,
toast.activity.logFailed,,Failed to log activity,,,,,
toast.activity.logSuccess,,Successfully logged activity,,,,,
toast.aiChef.ingredientNotFound,,Could not find these ingredients.,,,,,
toast.aiChef.recipeGenerateFailed,,We couldn't generate your recipes. Please try again.,,,,,
toast.common.networkError,,Network connection error. Please try again.,,,,,
